page	start	end	notes
323	ⲣⲓⲣⲕⲟⲃⲉ	ⲣⲟⲕⲣⲉⲕ	
324	ⲣⲟⲕϩ	ⲣⲟⲟⲩϣ	
325	ⲣⲟⲧ	ⲣⲱ	
326	ⲣⲱ	ⲣⲱ	
327	ⲣⲱ	ⲣⲱ	
328	ⲣⲱⲓⲥ	ⲣⲱⲕϩ	
329	ⲣⲱⲙⲓ	ⲣⲱⲙⲓ	
330	ⲣⲱⲛ	ⲣⲱⲟⲩϣ	
331	ⲣⲱⲟⲩϣ	ⲣⲱⲟⲩϣ	
332	ⲣⲱⲟⲩϣ	ⲣⲱϣⲓ	
333	ⲣⲱϣⲓ	ⲣⲱϧⲧ	
334	ⲣⲱϧⲧ	ⲣϫⲛⲟⲟⲩ	
335	ⲥ	ⲥⲁ	
336	ⲥⲁ	ⲥⲁ	
337	ⲥⲁ	ⲥⲁⲃⲟ	
338	ⲥⲁⲃⲟⲗ	ⲥⲁⲑⲉⲣⲓ	
339	ⲥⲁⲑⲙⲓ	ⲥⲁⲕ	
340	ⲥⲁⲕ	ⲥⲁⲙⲛⲧ	
341	ⲥⲁⲙⲡⲉⲑⲛⲁⲛⲉϥ	ⲥⲁⲥⲁ	
342	ⲥⲁⲥⲉ	ⲥⲁⲧⲟⲧ	
343	ⲥⲁⲧⲱ	ⲥⲁϧ	
344	ⲥⲁϧ	ⲥⲁϩ	
345	ⲥⲁϩ	ⲥⲁϩⲟⲩⲓ	
346	ⲥⲁϩⲟϥ	ⲥⲁϩⲱ	
347	ⲥⲁϩⲱ	ⲥⲁϫⲓ	
348	ⲥⲁϫⲓ	ⲥⲁϫⲓ	
349	ⲥⲁϫⲓ	ⲥⲁϫⲓ	
350	ⲥⲁϫⲓ	ⲥⲃⲉ	
351	ⲥⲃⲉⲉⲧⲉ	ⲥⲃⲱ	
352	ⲥⲃⲱ	ⲥⲉ	
353	ⲥⲉ	ⲥⲉⲃⲧⲉ	
354	ⲥⲉⲉⲓⲛ	ⲥⲉⲕ	
355	ⲥⲉⲕ	ⲥⲉⲙⲓ	
