page	start	end
725	ϩⲱⲧⲡ	ϩⲁⲧⲏⲣ
726	ϩⲱⲧⲉⲣ	ϩⲧⲟⲣ
727	ϩⲧⲱⲣⲉ	ϩⲧⲟⲟⲩⲉ
728	ϩⲓⲧⲟⲩⲛ	ϩⲁⲩ
729	ϩⲁⲩ	ϩⲏⲩ
730	ϩⲟⲟⲩ	ϩⲟⲟⲩ
731	ϩⲟⲟⲩ	ϩⲟⲟⲩ
732	ϩⲱⲟⲩ	ϩⲓⲟⲩⲉ
733	ϩⲓⲟⲩⲉ	ϩⲓⲟⲩⲉ
734	ϩⲓⲟⲩⲉ	ϩⲓⲟⲩⲉ
735	ϩⲟⲩⲟ	ϩⲟⲩⲟ
736	ϩⲟⲩⲟ	ϩⲟⲩⲟ
737	ϩⲟⲟⲩⲉ	ϩⲟⲩⲣⲱ
738	ϩⲟⲩⲣⲓⲧ	ϩⲟⲟⲩⲧ
739	ϩⲟⲟⲩⲧⲛ	ϩⲟⲩϩⲉ
740	ϩⲁⲩϭⲁⲗ	ϩⲟϥ
741	ϩⲟⲩϥ	ϩⲁϩ
742	ϩⲁϩ	ϩϫⲁ
743	ϩϫⲉ	ϩⲟϫϩϫ
744	ϩⲟϫϫ	ϩⲱϭⲡ
745	ϫ	ϫⲁⲉⲓⲉ
746	ϫⲁⲉⲓⲟ	ϫⲉ
747	ϫⲉ	ϫⲓ
748	ϫⲓ	ϫⲓ
749	ϫⲓ	ϫⲓ
750	ϫⲓ	ϫⲓ
751	ϫⲓ	ϫⲓ
752	ϫⲓ	ϫⲟ
753	ϫⲟ	ϫⲟⲉ
754	ϫⲟⲓ	ϫⲱ
755	ϫⲱ	ϫⲱ
756	ϫⲱ	ϫⲱ
757	ϫⲱ	ϫⲱ
758	ϫⲱ	ϫⲱ
759	ϫⲱ	ϫⲱⲱⲃⲉ
760	ϫⲃⲃⲉⲥ	ϫⲁⲕ
761	ϫⲁⲕ	ϫⲱⲕ
762	ϫⲱⲕ	ϫⲱⲕ
763	ϫⲏⲕⲉ	ϫⲱⲕⲙ
764	ϫⲱⲕⲣ	ϫⲉⲕⲁⲁⲥ
765	ϫⲟⲕⲥⲓ	ϫⲉⲗⲁ
766	ϫⲉ	ϫⲱⲗⲕ
767	ϫⲱⲗⲕ	ϫⲱⲗⲕ
768	ϫⲱⲗⲕ	ϫⲓⲗⲙⲁ
769	ϫⲓⲗⲙⲓⲛ	ϫⲱⲗϩⲥ
770	ϫⲗⲁϩⲧⲥ	ϫⲱⲱⲙⲉ
771	ϫⲙⲉ	ϫⲓⲙⲫⲉϩ
772	ϫⲉⲙϣⲁⲓ	ϫⲓⲛ
773	ϫⲓⲛ	ϫⲛⲁ
774	ϫⲛⲁ	ϫⲛⲟⲩ
775	ϫⲛⲛⲉ	ϫⲱⲛⲧ
776	ϫⲱⲛⲧ	ϫⲱⲛϥ
777	ϫⲛⲟϥ	ϫⲡ
778	ϫⲉⲡ	ϫⲡⲟ
779	ϫⲡⲟ	ϫⲡⲟ
780	ϫⲁⲡⲗⲉ	ϫⲓⲣ
781	ϫⲓⲣ	ϫⲉⲣⲟ
782	ϫⲉⲣⲟ	ϫⲱⲱⲣⲉ
783	ϫⲱⲱⲣⲉ	ϫⲣⲟ
784	ϫⲣⲟ	ϫⲣⲟ
785	ϫⲱⲣⲉⲃ	ϫⲱⲣⲙ
786	ϫⲱⲣⲙ	ϫⲱⲣⲡ
787	ϫⲣⲁⲣⲉ	ϫⲟⲉⲓⲥ
788	ϫⲟⲥ	ϫⲓⲥⲉ
789	ϫⲓⲥⲉ	ϫⲓⲥⲉ
790	ϫⲓⲥⲉ	ϫⲟⲉⲓⲧ
791	ϫⲟⲉⲓⲧ	ϫⲱⲧⲉ
792	ϫⲧⲁⲓ	ϫⲁⲓⲱⲟⲩ
793	ϫⲉⲩ	ϫⲓⲟⲩⲉ
794	ϫⲓⲟⲩⲉ	ϫⲟⲩⲱⲧ
795	ϫⲟⲟⲩϥ	ϫⲟⲩϥ
796	ϫⲟⲩϥ	ϫⲓϩ
797	ϫⲱϩ	ϫⲱϩⲙ
798	ϫⲁϩⲛⲓ	ϫⲁϫ
799	ϫⲁϫ	ϫⲁϫⲉ
800	ϫⲁϫⲉ	ϫⲱⲱϭⲉ
801	ϭ	ϭ
802	ϭⲁ	ϭⲉ
803	ϭⲉ	ϭⲱ
804	ϭⲱ	ϭⲱⲱⲃⲉ
805	ϭⲱⲃⲉ	ϭⲃⲃⲉ
806	ϭⲃⲓⲣ	ϭⲱⲗ
807	ϭⲱⲗ	ϭⲟⲉⲓⲗⲉ
808	ϭⲟⲉⲓⲗⲉ	ϭⲟⲉⲓⲗⲉ
809	ϭⲱⲱⲗⲉ	ϭⲱⲱⲗⲉ
810	ϭⲱⲱⲗⲉ	ϭⲁⲗⲓⲗ
811	ϭⲓⲗⲗ	ϭⲗⲟⲙⲗⲙ
812	ϭⲉⲗⲙⲏⲛ	ϭⲱⲗⲡ
813	ϭⲱⲗⲡ	ϭⲁⲗⲁϩⲧ
814	ϭⲁⲗⲟϫ	ϭⲱⲗϫ
